generation	indiv.index	Mutcount	fitness	zogosity	s	h
100000	3036	5	0.964014	het	-0.156033	0.167398
100000	3036	5	0.964014	het	-0.213551	0.0130746
100000	3036	5	0.964014	het	-0.0068731	0.0937361
100000	1029	8	0.945074	het	-0.000467448	0.139968
100000	1029	8	0.945074	het	-0.00782627	0.0592714
100000	1029	8	0.945074	het	-0.0480405	0.177227
100000	1029	8	0.945074	het	-0.165589	0.0220468
100000	1029	8	0.945074	het	-0.280206	0.0683033
100000	1029	8	0.945074	het	-0.574657	0.0411683
100000	1029	8	0.945074	het	-0.000686853	0.185255
100000	864	6	0.92682	het	-0.0721218	0.0420682
100000	864	6	0.92682	het	-0.999972	0.0409703
100000	864	6	0.92682	het	-0.31201	0.0796772
100000	864	6	0.92682	het	-0.485945	0.0114242
100000	864	6	0.92682	het	-0.00453236	0.00510576
100000	921	9	0.867553	het	-0.000467448	0.139968
100000	921	9	0.867553	het	-0.129114	0.0448489
100000	921	9	0.867553	het	-0.13804	0.205664
100000	921	9	0.867553	het	-0.66978	0.035378
100000	921	9	0.867553	het	-0.779248	0.00626482
100000	921	9	0.867553	het	-0.158616	0.341254
100000	921	9	0.867553	het	-0.000686853	0.185255
100000	921	9	0.867553	het	-0.195042	0.113538
100000	1610	7	0.88737	het	-0.000467448	0.139968
100000	1610	7	0.88737	het	-0.165589	0.0220468
100000	1610	7	0.88737	het	-0.319742	0.251671
100000	1610	7	0.88737	het	-0.255877	0.0425407
100000	1610	7	0.88737	het	-0.124667	0.162298
100000	1610	7	0.88737	het	-0.00296958	0.0443619
100000	3191	5	0.975515	het	-0.411658	0.00789017
100000	3191	5	0.975515	het	-0.381146	0.0394929
100000	3191	5	0.975515	het	-0.567278	0.00152428
100000	3191	5	0.975515	het	-0.170222	0.0301413
100000	720	12	0.900568	het	-0.000467448	0.139968
100000	720	12	0.900568	het	-0.18054	0.407399
100000	720	12	0.900568	het	-0.0186269	0.000719047
100000	720	12	0.900568	het	-0.00383766	0.417132
100000	720	12	0.900568	het	-0.0748435	0.149099
100000	720	12	0.900568	het	-0.109142	0.111816
100000	720	12	0.900568	het	-0.0154002	0.0357147
100000	720	12	0.900568	het	-0.00421	0.00205291
100000	720	12	0.900568	het	-0.0019182	0.0721201
100000	720	12	0.900568	het	-0.000847052	0.0257777
100000	720	12	0.900568	het	-0.031448	0.0657866
100000	1249	5	0.991407	het	-0.411658	0.00789017
100000	1249	5	0.991407	het	-0.0026701	0.464848
100000	1249	5	0.991407	het	-0.110183	0.032941
100000	1249	5	0.991407	het	-0.0019182	0.0721201
100000	3031	4	0.995834	het	-0.292602	0.0119169
100000	3031	4	0.995834	het	-0.00334505	0.0565827
100000	3031	4	0.995834	het	-0.00296958	0.0443619
100000	1684	7	0.989567	het	-0.011297	0.152787
100000	1684	7	0.989567	het	-0.411658	0.00789017
100000	1684	7	0.989567	het	-0.0026701	0.464848
100000	1684	7	0.989567	het	-0.393894	0.00792967
100000	1684	7	0.989567	het	-0.00296958	0.0443619
100000	1684	7	0.989567	het	-0.0068731	0.0937361
100000	1732	5	0.978518	het	-0.00435414	0.345412
100000	1732	5	0.978518	het	-0.205523	0.0546577
100000	1732	5	0.978518	het	-0.419049	0.0187993
100000	1732	5	0.978518	het	-0.0068731	0.0937361
100000	2351	5	0.987131	het	-0.129114	0.0448489
100000	2351	5	0.987131	het	-0.124065	0.0202992
100000	2351	5	0.987131	het	-0.213551	0.0130746
100000	2351	5	0.987131	het	-0.6409	0.00228641
100000	713	5	0.997781	het	-0.0186269	0.000719047
100000	713	5	0.997781	het	-0.00334505	0.0565827
100000	713	5	0.997781	het	-0.0507314	0.0309358
100000	713	5	0.997781	het	-0.000781792	0.111224
100000	2041	7	0.951632	het	-0.468187	0.00343609
100000	2041	7	0.951632	het	-0.011297	0.152787
100000	2041	7	0.951632	het	-0.0847789	0.114484
100000	2041	7	0.951632	het	-0.00435414	0.345412
100000	2041	7	0.951632	het	-0.0955146	0.354858
100000	2041	7	0.951632	het	-0.0019182	0.0721201
